Ano;Compra;Gerenciadora;Participante;Cadastro;Início Adesão;Fim Adesão;Início RP;Fim RP;Tipo;Situação;Bem;Grupo;Classe;Item;Marca;Modelo;Total;Restante;Percentual;Preço Referencial;Preço Final;Qtd.CompraAta
2025;156891;PUSP-B ;FOB    ;15/12/2025 14:32;09/02/2026 10:05;09/02/2026 10:07;25/05/2026 00:00;24/05/2027 00:00;Setorizada;Vigente;8704783;EQUIPAMENTOS PARA PURIFICACAO E FILTRAG.;EQUIPAMENTOS PARA PURIFICACAO DE AGUA;BEBEDOURO ELETRICO,INDUSTRIAL,100 LITROS,03 TORNEIRAS;CANOVAS;RESIST 100;2,00;0,00;3,23;2037,800;2037,000;2;
2025;156891;PUSP-B ;FOB    ;15/12/2025 14:32;09/02/2026 10:05;09/02/2026 10:07;25/05/2026 00:00;24/05/2027 00:00;Setorizada;Vigente;9727094;EQUIPAMENTOS PARA PURIFICACAO E FILTRAG.;EQUIPAMENTOS PARA PURIFICACAO DE AGUA;BEBEDOURO ELETRICO,PRESSAO,SENSOR INFRAVERMELHO,(50X46X49)CM,2 TORNEIR;CANOVAS;LIFE 200;15,00;8,00;8,72;3975,340;3175,000;2;
2026;74447;FOB    ;FOB    ;29/05/2026 09:24; ; ;01/06/2026 00:00;01/06/2027 00:00;Setorizada;Vigente;8366632;ARTIGOS DE HIGIENE;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL;PAPEL HIGIÊNICO-FOLHA DUPLA; BOB/CVG; BOB/CVG;1.500,00;1.500,00;95,91;8,350;3,590;0;
2026;74447;FOB    ;FOB    ;29/05/2026 09:24; ; ;01/06/2026 00:00;01/06/2027 00:00;Setorizada;Vigente;9639594;ARTIGOS DE HIGIENE;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL;papel higienico p/dispenser de 1ªqualidade,folha dupla , 10 cm x 250m; DADU; DADU;600,00;600,00;70,59;109,000;66,100;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;8133921;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE DESINSTALACOES DE EQUIPAMEN.;APARELHO DE AR CONDICIONADO; ; ;65,00;65,00;85,53;758,330;400,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;8509824;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE DESINSTALACOES DE EQUIPAMEN.;DESINSTALACAO E INSTALACAO DE APARELHO DE AR CONDICIONADO; ; ;65,00;65,00;82,28;1545,830;1100,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;8821976;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE ES.;ESTRUTURA PARA FIXACAO DE TUBULACAO (DUTOS); ; ;200,00;200,00;75,47;30,150;20,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;8914257;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE E2.;CONDICIONADOR DE AR 18000 BTU'S COM INSTALACAO DE INFRAESTRUTURA ELETRICA; ; ;35,00;35,00;52,24;992,380;880,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;9081887;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE E2.;SERV.DE INSTALACAO/MONTAGEM EQUIP.CONDICIONADOR DE AR, CONDICINADOR DE AR DE 12000 BTU'S COM INSTALA; ; ;35,00;35,00;53,85;912,090;800,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;9184988;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE ES.;SERVICO DE INSTALACAO/MONTAGEM DE ESTRUTURAS-INSTALACAO DE CABO DE COBRE MULTIVIAS PARA CONDICIONADO; ; ;200,00;200,00;75,47;23,710;15,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;9442898;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE E2.;SERV.INSTALACAO/MONTAGEM EQUIP.CONDIC.DE AR-CONDICIONADOR DE AR 24000 BTU'S C/INSTALACAO DE INFRAEST; ; ;10,00;10,00;55,56;1134,350;1000,000;0;
